exception_id;po_number;line_item;material_id;supplier_id;supplier_name;plant;po_qty;open_qty;delivery_date;ibd_qty;chr_status;exception_type;priority;priority_score;panel;recommendation;evidence
311;4500017561;10;6360045301;1010320;Premier Packaging LLC;1786;28800;28800;2026-06-08;;;NO_SHIPMENT_OVERDUE;High;1;ACTION_REQUIRED;PO 4500017561/10 past due (2026-06-08) � no inbound delivery and no CHR shipment record exists. Escalate to Premier Packaging LLC immediately.;delivery_date < today AND no IBD AND no CHR match
312;4500017569;10;9050089602;;Intracompany transfer;1711;660;660;2026-06-15;660;In Transit;OVERDUE_IN_TRANSIT;High;4;ACTION_REQUIRED;"PO 4500017569/10 is past due (2026-06-15); inbound delivery posted but carrier still shows 'In Transit'. Expedite with carrier T2359780.";"IBD+CHR exist; CHR status=In Transit; overdue"
313;4500017570;10;9050038401;;Intracompany transfer;1711;2400;2400;2026-06-15;2400;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017570/10 (2400 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
314;4500017570;20;9050099801;;Intracompany transfer;1711;5760;5760;2026-06-15;5760;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017570/20 (5760 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
315;4500017577;10;9050092202;;Intracompany transfer;1734;16800;16800;2026-06-22;16800;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017577/10 (16800 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
316;4500017581;10;9050092202;;Intracompany transfer;1734;16800;16800;2026-06-22;16800;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017581/10 (16800 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
317;4500017583;30;9050092502;;Intracompany transfer;1712;2640;2640;2026-06-22;2640;In Transit;HEALTHY_IN_TRANSIT;Low;9;STATUS_REPORT;"PO 4500017583/30 in transit ('In Transit'); ASN received, GR expected on arrival.";"IBD+CHR exist; CHR status=In Transit; not yet due"
318;4500017583;90;9050074101;;Intracompany transfer;1712;4212;4212;2026-06-22;4212;In Transit;HEALTHY_IN_TRANSIT;Low;9;STATUS_REPORT;"PO 4500017583/90 in transit ('In Transit'); ASN received, GR expected on arrival.";"IBD+CHR exist; CHR status=In Transit; not yet due"
319;4500017583;110;9050099804;;Intracompany transfer;1712;2880;2880;2026-06-22;2880;In Transit;HEALTHY_IN_TRANSIT;Low;9;STATUS_REPORT;"PO 4500017583/110 in transit ('In Transit'); ASN received, GR expected on arrival.";"IBD+CHR exist; CHR status=In Transit; not yet due"
320;4500017585;10;9200001401;;Intracompany transfer;1711;5400;5400;2026-06-15;5400;;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;Inbound delivery posted for PO 4500017585/10 (5400 units). Proceed with GR posting.;"IBD exists, no CHR; quantity reconciles (or ahead of GR)"
321;4500017588;20;9050068002;;Intracompany transfer;7101;10368;10368;2026-06-15;10368;Delivered;HEALTHY_GR_PENDING;Low;8;STATUS_REPORT;PO 4500017588/20 delivered per carrier and IBD posted (10368 units). Proceed with GR posting.;"IBD+CHR exist; CHR status=Delivered; quantity reconciles"
